ASVID	Kingdom	Phylum	Class	Order	Family	Genus	sample_30114	sample_30208	sample_30213	sample_30220	sample_30225	sample_30237	sample_30250	sample_30401	sample_30417	sample_30445	sample_30455	sample_30471	sample_30482	sample_30488	sample_30501	sample_30517	sample_30539	sample_30558	sample_30563	sample_30567	sample_30571	sample_30582	sample_30590	sample_30597	sample_30629	sample_30701	sample_30711	sample_30717	sample_30721	sample_30725	sample_30733	sample_30742	sample_30774	sample_30782	sample_30784	sample_30798	sample_30800	sample_30802	sample_30806	sample_30810	sample_30815	sample_30830	sample_30860	sample_30864	sample_30865	sample_30867	sample_30875	sample_30919	sample_30923	sample_30925	sample_30927	sample_30929	sample_30940	sample_30945	sample_30961	sample_30979	sample_31000	sample_31003	sample_31004	sample_31043	sample_31076	sample_31079	sample_31085	sample_31089	sample_31106	sample_31110	sample_31111	sample_31123	sample_31210	sample_31216	sample_31270	sample_31285	sample_31289	sample_31299	sample_31305	sample_31311	sample_31373	sample_31380	sample_31389	sample_31391	sample_31392	sample_31402	sample_31416	sample_31420	sample_31439	sample_31448	sample_31449	sample_31451	sample_31505	sample_31511	sample_31512	sample_31516	sample_75015	sample_75041
5fdbcbf910859787c61abdd2787462be	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	107.323182446	115.281307127	113.543003533	98.329466922	110.822509675	105.980209344	99.487645078	70.87461345	68.849783289	109.495378797	110.280121864	98.688955709	110.875400878	68.691645155	114.532794218	81.109796134	102.634943559	114.885439378	100.135563269	114.170388501	105.363619815	109.217154379	91.15698951	71.021770709	99.191721543	114.331772368	109.939818158	104.989282861	98.706768781	114.37082326	115.608998206	113.255845311	115.808032468	111.52100973	73.982759127	112.360629533	71.734807766	114.452223766	109.276219533	68.897530746	79.761656017	110.295716049	99.212222747	68.644812473	110.71523769	73.879623424	68.685086224	116.545017046	112.884623874	98.371095621	99.754065311	115.005631414	105.147628966	110.930674137	105.681808493	108.702786078	102.648426074	110.945655156	113.866161646	114.108833854	106.324088885	71.933336943	115.34765481	112.178234139	83.374350308	108.678555387	116.391897428	71.692248217	95.616759995	112.998072416	91.562762061	111.297051814	114.620682494	112.623344541	100.29245476	104.839300579	95.094757434	107.102046689	108.168460995	118.534983492	87.076195366	115.136501645	114.938464883	114.650454388	114.307706545	118.395633138	118.385220757	117.806020327	116.85728258	112.517925237	104.640644455	112.274318224	103.084055932	69.704397395
7a8d774ebc149e3a4db3f186814a9964	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia.Shigella	18.853963	19.478623	14.495466	20.900657	19.186292	21.318286	21.082411	15.477718	15.236451	19.04542	19.122281	20.950882	20.434323	15.220844	14.217964	16.495169	21.079502	17.007501	20.784417	14.367192	18.742226	15.512106	17.394341	15.468338	19.640441	14.723456	16.012153	21.357346	19.97274	14.293884	19.535396	17.327216	19.549276	20.316607	15.748504	19.300976	15.569496	15.182011	19.036316	15.241886	16.264101	19.143282	20.924078	15.216017	19.155724	15.725443	15.220091	19.59994	19.352941	20.608635	20.500031	19.471356	17.495675	19.205967	20.399765	18.99511	19.296978	20.442786	14.293478	14.732569	18.82085	15.591173	19.486609	19.252727	16.720463	18.979035	19.564523	15.5571	17.880993	19.306432	17.514342	19.690941	14.701456	15.899605	19.45076	21.268445	17.828937	20.204393	18.949142	19.704087	17.104588	15.891212	14.410108	18.131474	19.459518	19.692294	19.691705	19.654833	19.619595	16.800413	18.673913	19.719968	20.315521	15.326261
7744ee0171a4b767f8815c6455103d7e	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Agathobacter	21.05818744	22.72503235	25.06575226	25.96010079	20.95303373	24.76908093	25.75434133	25.54826392	25.49346633	20.79252474	20.75761929	25.89770598	24.24771645	25.51186617	24.97390231	24.71173738	25.30408099	24.36388383	25.72645464	24.99882555	23.45902907	25.49068871	23.21533371	25.32071443	26.10172979	24.90504376	25.28555612	24.90428709	26.10253097	24.98328456	21.14435786	24.53589244	21.08975908	24.17793581	24.97208725	21.34941139	25.48768061	24.79520688	20.81045197	25.49182665	24.14098738	21.18542677	25.82866286	25.5165777	20.69293357	24.91814294	25.51222146	21.15035315	20.63628131	26.01814878	25.84104307	22.55137751	25.68133121	21.1335181	25.00666037	22.46345834	25.67423513	24.23595088	25.05794419	24.93601768	22.70061746	25.50109428	22.67966955	22.94489029	24.6521769	20.83951635	22.53497641	25.42479216	23.44938395	22.9205663	24.33693993	24.3397558	24.86687678	24.91873799	25.9829141	24.94534946	24.1116164	24.84160499	23.21390277	21.9256066	24.60232336	24.55173224	24.87649118	24.17324307	20.76004221	22.03736649	22.04162408	22.17193086	21.5712604	24.75173718	23.37759216	24.19160479	25.3991126	25.41122844
4c13e11c59ed3c940d380a0f33188cc9	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	45.595222981	54.966082898	51.226051404	53.679737013	46.361371108	51.547748002	53.325909618	51.459171286	50.579707273	45.241216154	45.370885212	53.572249628	50.484109079	50.598765306	51.012340074	51.541007975	52.504376627	50.253082763	53.24490227	51.08228667	54.601801901	52.146609776	48.895048781	50.620861692	53.795148848	50.956872581	51.835316742	51.80085051	53.836111399	51.041429612	48.744785647	50.616112445	48.590440756	50.339117186	50.211481089	48.489705247	51.505931143	50.813672135	45.243208796	50.588886842	48.794350756	47.13802179	53.445124059	50.601880225	45.250003686	49.958779382	50.59798249	49.085887238	45.767557584	53.756873912	53.42134856	54.191341495	52.759470656	47.142009704	51.877978859	51.748629806	52.973120697	50.463649568	51.182479503	51.016311978	51.904409914	51.620854363	54.810505732	54.809481415	52.052298117	45.15451173	54.583221524	51.243636849	51.33127289	54.980784088	53.498716416	50.560615561	50.882071838	51.141203221	53.557287817	51.866831784	53.77925734	51.551439575	54.556451732	52.869017456	53.063074203	50.453095325	50.856431495	50.050370888	46.750415474	53.271058995	53.284201688	53.610195423	50.893168115	50.950197285	54.041535889	50.289572601	52.590069537	50.538495166
d10716680579ff0bcf3e5dc53a1cb619	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia	22.81778228	11.73239019	12.25245021	17.21251573	22.40154265	16.49342675	17.16208065	9.05951623	9.85531651	23.65524054	23.61769248	17.19401136	15.47273972	9.80571631	11.99290403	10.6110806	16.78294953	13.3123794	16.94219319	12.11191284	10.57363716	13.27562825	15.75943423	10.15456526	16.50087053	12.26645468	13.43308369	16.63212787	16.72022613	12.05056897	20.0597138	13.66864289	20.29912352	15.33627796	11.17998208	19.84331446	9.13602355	12.47538913	23.61409422	9.85143289	13.99755325	21.28854818	17.11929107	9.79401133	23.85113423	11.49283623	9.805666	19.77027279	23.54129096	17.06860257	16.85052239	12.72009173	14.73947031	21.39119371	16.08573447	14.91641708	15.91902872	15.46838859	12.11332134	12.29855223	14.31093815	9.02502676	11.94855138	11.43206874	10.31307387	23.6284244	12.4259169	9.46614384	13.27724572	11.34119536	9.77460221	15.06013454	12.21984652	13.05070637	16.27756296	16.607624	9.98190732	15.81958452	11.10238076	15.08444062	9.61213719	12.7364381	12.03660758	13.89065761	22.48256673	14.52561693	14.50636119	13.97285813	17.42099653	13.50329039	11.19407559	14.95478964	16.35993382	10.04803172
8994967a8e7c878ad16a3bb998fa8ce5	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	18.274117732	10.846368166	12.1900564	6.6859228	18.099586754	7.054309	6.6663567	7.893754606	8.407185031	18.892738277	18.898552826	6.6835626	8.0351719	8.367606018	12.4684618	9.226522028	6.9237754	10.6374489	6.9057676	12.3327951	9.775922263	11.1411517	13.033088671	8.671085595	7.5681921	12.106576	10.868601	6.9452392	7.3116746	12.4015369	16.643359483	10.2856471	16.813774595	8.1684477	9.449668492	16.404566838	7.968205541	11.8120156	18.863750079	8.405451436	11.519295004	17.340465966	6.7425832	8.358309422	19.062137927	9.65988516	8.367402758	16.478150288	18.932155959	6.8714783	7.0579331	11.539405271	9.4753283	17.427942325	7.6180212	12.911381757	8.0797579	8.0352649	12.355662	12.0804498	12.424150311	7.892898265	11.001877452	10.555053759	9.071103154	18.849558645	11.365956852	8.197459528	11.435505143	10.509136152	8.878533985	8.5569307	12.1473589	11.1726621	7.7818125	6.9882887	9.111343846	7.8651564	10.223604889	13.286758981	8.656561735	11.4021926	12.3749922	9.8665983	18.256136402	12.895420444	12.881250836	12.4915771	14.870294915	10.5667142	10.197166495	8.6225112	7.4553922	8.562942605
3fb440e89f5d5739309fb74e9a96ed90	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella_9	22.51978234	25.814216517	28.491769051	17.484425934	23.363494417	18.131061542	17.42794396	16.498404539	15.931341337	22.877821154	23.061913831	17.474474826	20.062763095	15.904100011	29.039085569	18.50560761	17.914701552	25.307762156	17.913264687	28.77068235	23.799759762	26.423312785	19.973250244	16.36250895	19.281737157	28.307209025	25.858556555	17.922941195	18.764172623	28.906029552	24.763235074	24.61754952	24.774787112	20.324236401	16.861561028	24.071553185	16.673668032	27.706081574	22.836576847	15.942432993	17.713950545	23.413454041	17.589395066	15.895560309	23.121958991	16.790664604	15.902669227	25.016351708	23.659764773	17.867920712	18.230096157	25.627962327	23.091865324	23.539980091	19.290363954	23.953861647	20.279608956	20.0620819	28.822697826	28.258151326	23.511701615	16.736121452	25.800066154	25.179135439	19.043592861	22.697930468	25.966893892	16.613518931	21.301583723	25.369398284	20.914265113	21.122163688	28.384942641	26.435926489	19.704784515	18.014193936	21.653193357	19.775007523	24.346509143	26.093432901	19.959207262	26.859854651	28.840990303	23.743013796	24.129910735	26.13820105	26.138341006	26.081027134	25.407599664	25.204154501	23.558696274	21.239758341	18.996744153	16.090220843
2e89171587049da1b519f44e0dce1f63	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Subdoligranulum	34.841763085	35.266971176	45.88806668	48.969557505	34.069447083	48.891647919	49.003458968	46.67280157	47.037539905	34.131153404	33.947055924	48.977827587	48.384839898	47.086380256	45.733744547	43.813877947	48.908505816	46.865399312	48.871807224	45.811214461	37.859652803	46.451650933	40.288233472	46.43091104	48.450075814	45.953073014	46.632801237	48.93956134	48.597345189	45.77214798	33.432981454	47.051275604	33.335370323	48.315085954	45.487731829	34.248306683	46.441455858	46.136339648	34.190671605	47.026051447	43.486751347	34.435491907	48.952398903	47.100489695	33.791442408	45.454048422	47.088062849	33.274894234	33.330431406	48.859002465	48.771851941	35.123175099	47.397347395	34.255995827	48.542831594	36.166023168	48.20389773	48.386177601	45.791850679	45.965268648	36.855445833	46.411400625	35.206035855	36.062188564	43.310195562	34.333578743	34.859284186	46.389250259	39.68089703	35.888420524	41.382913996	48.073708879	45.933027038	46.496141315	48.341283985	48.910832045	40.480610447	48.418854412	37.085743581	33.803805602	42.515750975	46.400131727	45.798120314	47.334843083	33.217797008	33.954801086	33.961045825	34.206760501	33.699132829	46.866236106	37.911228299	48.051425928	48.593262454	46.783891781
efc781dff72f4542c6b9d02fb5fd9e32	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	Christensenellaceae_R.7_group	27.6425122497	20.4277380448	25.3096022347	23.5403122181	26.9779716978	23.1488939763	23.440651489	24.564936961	25.2824869489	27.8301047832	27.7166513995	23.5114436441	23.29738094	25.2742894774	25.3791424882	24.1262067411	23.3375138468	24.3763642496	23.5208153022	25.3362810016	20.9987677434	25.0849261418	25.7465694202	25.1711600961	23.94989478	25.2034843229	24.8841923649	23.1668958475	23.8492894779	25.3567527295	25.0929627932	24.3153065292	25.2032457943	23.3184462428	25.3676545186	25.368036073	24.4967254335	25.0368579997	27.8369009295	25.2739805723	26.2067283463	26.4317872826	23.5033286841	25.2737281537	27.7879467237	25.5564305065	25.2751139719	24.8217294975	27.3573319848	23.6382059455	23.6322080598	21.026792286	24.5115807143	26.4087787064	23.4754193866	23.0574633094	23.9582809194	23.2920362387	25.3721874267	25.2070891226	23.0069633134	24.4069108239	20.5430832639	20.6427320006	23.6647093473	27.9151950953	20.6861823501	24.68933268	23.7772181943	20.4880782619	22.2997589769	23.544124103	25.2024458088	24.8384910869	23.9802838448	23.2018492149	21.9690203956	23.498423613	20.9551267474	21.9371872039	22.7811235338	24.7643026265	25.2976619943	23.9842853926	26.5970683795	21.6388948458	21.6289378785	21.3957972585	23.4646445224	24.5234588764	21.4464196646	23.5032543795	23.5891202728	25.2810257614
b856dc356e95110b100c5c582ac0583c	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	12.3077521275	10.3641764377	12.0319009874	18.4095631993	11.7094879357	16.6748485705	18.1920880481	17.4398354987	17.8123791339	12.001544359	11.8697971544	18.3396036818	15.1087428349	17.8349994385	11.6693358133	15.8766966711	17.4123858599	12.725588895	17.914861473	11.8224437805	11.9352175395	13.5233972069	14.5362925379	17.4805379211	17.6931050551	11.9301631495	13.5483462855	16.9370163611	17.9470148823	11.7418472078	10.7770091207	13.2589091014	10.7573218621	14.9006662375	17.0599529123	11.3048580576	17.3063641123	12.0876211925	12.03564124	17.8044771848	16.2843824032	11.729032658	18.1988268971	17.8418648911	11.8125692454	17.0944094522	17.8360463351	10.6028976861	11.4350229966	18.2848028625	17.8960313819	10.4638540276	15.3446479609	11.6314928189	16.3848136288	11.623758813	16.6951785606	15.0948472245	11.8675174647	11.9894758728	11.983659202	17.2671459874	10.3654961223	10.8584022285	15.4931250608	12.1354321509	10.2191093893	17.3326231368	13.6757894914	10.7178147327	14.1341177941	14.7049993093	11.8490246883	12.8367728751	17.343112717	16.9395779467	13.5713034401	15.9527710385	11.50046391	10.0061271051	14.8539987106	12.2067057404	11.6483769766	13.2448819497	11.1363092799	9.9979203117	9.9986596233	10.0661140897	10.4182149325	13.2294690421	12.0868228768	14.4736030224	16.9947075958	17.6860485681
