	sample_30099	sample_30104	sample_30227	sample_30238	sample_30254	sample_30267	sample_30284	sample_30298	sample_30309	sample_30327	sample_30367	sample_30369	sample_30371	sample_30373	sample_30374	sample_30380	sample_30399	sample_30446	sample_30453	sample_30458	sample_30483	sample_30496	sample_30497	sample_30498	sample_30523	sample_30525	sample_30526	sample_30533	sample_30535	sample_30537	sample_30540	sample_30566	sample_30577	sample_30603	sample_30617	sample_30622	sample_30626	sample_30627	sample_30632	sample_30640	sample_30655	sample_30658	sample_30667	sample_30677	sample_30679	sample_30680	sample_30681	sample_30683	sample_30686	sample_30687	sample_30690	sample_30692	sample_30693	sample_30694	sample_30695	sample_30698	sample_30700	sample_30704	sample_30706	sample_30710	sample_30713	sample_30718	sample_30722	sample_30724	sample_30727	sample_30735	sample_30736	sample_30737	sample_30740	sample_30751	sample_30752	sample_30757	sample_30764	sample_30766	sample_30767	sample_30769	sample_30770	sample_30772	sample_30773	sample_30776	sample_30778	sample_30779	sample_30780	sample_30781	sample_30783	sample_30785	sample_30792	sample_30793	sample_30818	sample_30819	sample_30823	sample_30828	sample_30836	sample_30837	sample_30844	sample_30845	sample_30851	sample_30852	sample_30858	sample_30859	sample_30874	sample_30878	sample_30881	sample_30883	sample_30884	sample_30885	sample_30886	sample_30890	sample_30892	sample_30896	sample_30897	sample_30899	sample_30903	sample_30907	sample_30910	sample_30912	sample_30913	sample_30916	sample_30918	sample_30920	sample_30931	sample_30942	sample_30944	sample_30949	sample_30965	sample_30977	sample_30982	sample_30993	sample_30997	sample_30998	sample_31001	sample_31009	sample_31026	sample_31040	sample_31062	sample_31065	sample_31069	sample_31071	sample_31072	sample_31081	sample_31095	sample_31097	sample_31101	sample_31114	sample_31118	sample_31120	sample_31121	sample_31136	sample_31142	sample_31143	sample_31150	sample_31156	sample_31176	sample_31177	sample_31184	sample_31194	sample_31201	sample_31204	sample_31211	sample_31229	sample_31232	sample_31240	sample_31242	sample_31243	sample_31252	sample_31256	sample_31264	sample_31269	sample_31271	sample_31272	sample_31273	sample_31274	sample_31278	sample_31279	sample_31280	sample_31281	sample_31282	sample_31284	sample_31288	sample_31291	sample_31295	sample_31298	sample_31302	sample_31303	sample_31306	sample_31307	sample_31310	sample_31315	sample_31335	sample_31379	sample_31383	sample_31386	sample_31404	sample_31407	sample_31422	sample_31424	sample_31430	sample_31431	sample_31437	sample_31441	sample_31442	sample_31445	sample_31453	sample_31454	sample_31458	sample_31462	sample_31463	sample_31468	sample_31470	sample_31471	sample_31472	sample_75007	sample_75029	sample_75049
Proteiniphilum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sanguibacteroides	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	27	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alloprevotella	0	81	0	0	0	0	0	0	0	23	0	0	0	0	0	0	680	0	0	0	5	0	0	0	0	10	0	0	0	471	9825	0	0	0	0	0	0	1049	0	0	0	0	0	18	41	108	470	0	0	10	460	0	0	740	152	197	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	92	0	20012	0	0	0	0	742	0	0	0	0	0	0	0	0	0	0	0	3	0	1141	0	0	0	95	0	0	113	0	0	0	0	0	178	0	0	0	0	0	4	0	0	0	0	0	0	988	0	0	0	0	0	306	0	0	0	0	0	0	0	0	0	4778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	288	1502	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	1044	0	1660	911	0	0	0	0	131	0	12701	0	0	2	0	0	0	0	21569	0	0	0	5379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0
Paraprevotella	19	21	94	0	118	460	66	91	0	32	937	0	0	50	13	0	249	287	31	1895	0	21	186	0	2343	199	263	746	480	231	0	270	1245	277	630	0	145	118	302	0	359	0	1164	8	96	126	30	426	1522	143	0	209	0	1342	290	0	0	239	0	574	4	53	0	1382	193	0	177	0	214	78	0	1229	24	1014	958	251	201	1815	1012	79	374	0	177	0	1108	229	0	1156	178	208	0	0	190	437	0	0	600	0	0	34	32	54	344	4843	2513	0	0	4	231	377	52	79	0	82	228	516	1028	607	2	0	694	0	0	924	0	139	35	69	3537	0	0	64	154	324	1822	519	200	0	0	594	0	206	39	0	1468	4	1119	27	0	881	72	8	0	18	13	86	0	1509	12	2386	329	3	3093	2433	0	0	511	0	0	0	0	1550	0	2055	383	155	65	1515	561	205	223	369	0	6	0	94	1996	393	1859	324	431	535	0	670	250	0	0	452	819	0	4596	1128	0	0	152	0	5	0	0	1421	1334	0	5	0
Prevotella	6	0	0	11	0	4	15	0	0	0	27	775	0	166	2	15	54	0	159	32	0	5	2	2	0	113	0	5	6	0	13	0	0	0	0	23	25	0	0	0	508	109	0	0	2	6	0	9	14	0	10	0	0	9	0	16	0	0	0	0	0	0	38	0	83	0	0	0	0	0	0	318	25	24	0	8	49	5	0	0	0	0	10	0	2	0	0	4	13	626	0	0	13	0	0	0	0	104	70	4	0	0	0	64	5	0	60	35	0	2	0	0	14	0	62	0	30	83	5	0	0	19	0	12	0	7	0	48	0	1119	4	2	12	16	0	0	9	139	696	0	20	0	0	9	0	0	0	27	8	28	0	28	0	0	18	2	25	208	0	0	34	59	3	0	5	0	18	0	0	8	35	5	2	0	3	0	0	0	0	0	0	16	0	0	7	0	0	4	0	3	41	0	0	0	0	0	0	127	5	0	2	16	0	65	2	0	5	19	0	0	0	403	13	4
Prevotella_2	0	24	0	0	239	0	885	0	0	0	0	0	41	0	0	75	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2471	0	0	0	0	0	0	0	0	0	0	0	0	638	15	118	0	0	0	0	0	0	0	424	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1211	0	0	0	0	0	248	0	0	0	0	0	0	0	0	0	0	0	0	0	674	0	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1928	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	297	0	0	0	0	0	0	0	0	5135	0	104	46	4058	0	0	3500	44	0	0	0	0	44	0	0	0	16	0	0	0	0	0	6546	0	565	0	0	407	0	0	0	0	0	0	0	0	0	545	0	0	0	0	0	0	0	56	0
Prevotella_6	0	0	0	0	0	0	0	0	0	0	63	22	0	15	0	0	0	0	210	0	0	0	0	0	0	3	0	0	6	0	0	0	0	0	0	2	0	0	0	0	12	22	0	0	6	32	0	0	0	8	0	0	16	0	0	0	0	0	5	37	0	0	0	0	15	0	0	0	0	0	0	0	0	109	28	4	41	88	0	0	58	0	0	0	0	0	0	10	0	90	3	0	0	0	0	0	0	3	54	0	0	0	0	20	15	0	56	0	0	0	0	0	4	0	0	0	9	0	0	0	0	0	0	0	0	54	0	163	0	334	0	0	0	0	0	0	0	0	64	0	40	0	0	0	0	5	0	5	0	41	2	13	0	0	0	0	5	297	0	0	0	0	0	0	0	0	0	0	0	0	10	0	156	0	0	4	0	0	0	0	0	5	0	0	0	0	0	0	0	0	3	0	0	0	45	0	0	0	0	14	0	12	0	0	0	0	0	22	0	0	0	23	0	0
Prevotella_7	10011	0	0	0	3153	0	0	0	0	372	0	3084	0	0	0	0	0	0	0	0	0	10	0	0	0	122	0	1139	0	0	0	0	0	0	0	70	0	0	0	0	0	0	4	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1478	0	0	0	0	0	0	0	0	0	0	198	7	0	16	22	0	0	0	0	0	0	0	0	0	5	0	579	11	0	0	0	0	108	79	0	0	0	0	0	0	0	95	0	0	0	0	1627	0	0	0	0	4	0	0	0	0	0	0	0	0	1813	0	0	0	895	0	0	0	0	0	0	0	5	5	0	0	0	0	0	0	0	0	1816	0	0	1775	0	0	13	0	0	112	0	0	0	4	0	0	288	0	0	206	0	0	907	323	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	875	0	31	4	0	0	0	0	3	0	0	0	2	0	12	1124	0	588	21	5	0
Prevotella_9	379	246	1846	0	16249	1067	12865	0	0	2626	48	69	0	1066	0	676	16401	39764	17	3	437	15	88	0	0	1549	15706	452	10691	11383	29805	10	13121	543	0	10344	14250	3036	7	2356	0	0	19	27589	435	5248	4942	3488	0	249	3635	0	9	520	81	0	0	0	77	0	0	2509	0	33	7661	0	0	0	0	2832	52	5	1571	808	25	0	21832	0	1256	4916	0	3459	0	0	6	0	15	0	191	7	0	0	7074	3057	0	0	0	384	0	245	0	10	1544	7	7	669	1713	0	23074	0	0	26034	20	1039	0	4844	0	0	38	3313	1939	0	1037	12095	0	10061	0	0	591	0	71	11	0	0	0	1650	0	32	0	3286	0	2690	0	0	0	0	12	0	0	0	20606	1076	0	14	0	172	0	9474	0	3751	9	0	16	0	77	0	20274	7	713	311	53419	14	13	0	16864	32321	7585	17	15039	2812	14	24182	16624	157	16	1215	0	3316	12412	2781	16253	24208	18	4911	8910	53255	0	176	0	11	13	12	22	12	105	0	33	0	46492	3722	15524	0	2549	0
Prevotellaceae_NK3B31_group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	898	0	101	0	0	0	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	184	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0
