	sample_30099	sample_30104	sample_30227	sample_30238	sample_30254	sample_30267	sample_30284	sample_30298	sample_30309	sample_30327	sample_30367	sample_30369	sample_30371	sample_30373	sample_30374	sample_30380	sample_30399	sample_30446	sample_30453	sample_30458	sample_30483	sample_30496	sample_30497	sample_30498	sample_30523	sample_30525	sample_30526	sample_30533	sample_30535	sample_30537	sample_30540	sample_30566	sample_30577	sample_30603	sample_30617	sample_30622	sample_30626	sample_30627	sample_30632	sample_30640	sample_30655	sample_30658	sample_30667	sample_30677	sample_30679	sample_30680	sample_30681	sample_30683	sample_30686	sample_30687	sample_30690	sample_30692	sample_30693	sample_30694	sample_30695	sample_30698	sample_30700	sample_30704	sample_30706	sample_30710	sample_30713	sample_30718	sample_30722	sample_30724	sample_30727	sample_30735	sample_30736	sample_30737	sample_30740	sample_30751	sample_30752	sample_30757	sample_30764	sample_30766	sample_30767	sample_30769	sample_30770	sample_30772	sample_30773	sample_30776	sample_30778	sample_30779	sample_30780	sample_30781	sample_30783	sample_30785	sample_30792	sample_30793	sample_30818	sample_30819	sample_30823	sample_30828	sample_30836	sample_30837	sample_30844	sample_30845	sample_30851	sample_30852	sample_30858	sample_30859	sample_30874	sample_30878	sample_30881	sample_30883	sample_30884	sample_30885	sample_30886	sample_30890	sample_30892	sample_30896	sample_30897	sample_30899	sample_30903	sample_30907	sample_30910	sample_30912	sample_30913	sample_30916	sample_30918	sample_30920	sample_30931	sample_30942	sample_30944	sample_30949	sample_30965	sample_30977	sample_30982	sample_30993	sample_30997	sample_30998	sample_31001	sample_31009	sample_31026	sample_31040	sample_31062	sample_31065	sample_31069	sample_31071	sample_31072	sample_31081	sample_31095	sample_31097	sample_31101	sample_31114	sample_31118	sample_31120	sample_31121	sample_31136	sample_31142	sample_31143	sample_31150	sample_31156	sample_31176	sample_31177	sample_31184	sample_31194	sample_31201	sample_31204	sample_31211	sample_31229	sample_31232	sample_31240	sample_31242	sample_31243	sample_31252	sample_31256	sample_31264	sample_31269	sample_31271	sample_31272	sample_31273	sample_31274	sample_31278	sample_31279	sample_31280	sample_31281	sample_31282	sample_31284	sample_31288	sample_31291	sample_31295	sample_31298	sample_31302	sample_31303	sample_31306	sample_31307	sample_31310	sample_31315	sample_31335	sample_31379	sample_31383	sample_31386	sample_31404	sample_31407	sample_31422	sample_31424	sample_31430	sample_31431	sample_31437	sample_31441	sample_31442	sample_31445	sample_31453	sample_31454	sample_31458	sample_31462	sample_31463	sample_31468	sample_31470	sample_31471	sample_31472	sample_75007	sample_75029	sample_75049
Facklamia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Granulicatella	0	0	104	0	0	0	0	0	34	0	0	0	18	0	0	0	37	0	0	0	0	17	0	59	0	0	33	0	0	0	737	12	0	0	0	63	0	29	0	47	9	0	10	0	0	15	0	42	0	7	0	19	0	0	94	0	48	0	0	29	22	0	0	0	0	0	0	0	0	0	0	26	0	0	51	15	0	0	0	0	0	0	0	0	16	123	0	0	0	0	18	0	54	0	0	0	0	15	0	0	0	0	0	0	0	32	0	41	0	0	0	0	0	17	0	0	0	0	0	3	6	0	12	0	0	25	0	0	29	0	0	45	0	0	0	0	0	0	42	20	0	0	0	0	0	27	0	0	15	28	0	0	0	0	49	58	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	15	0	0	0	0	0	0	59	0	0	0	22	64	0	0	0	0	0	0	0	6	0	0	0	0	33	0	0	0	0	0
Jeotgalibaca	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Catellicoccus	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enterococcus	45	28	116	131	0	11	53	6217	0	6	10	790	0	0	172	2177	339	30	586	0	1470	31	332	0	84	4472	335	0	0	6996	472	0	0	0	187	337	57	25	59	0	0	46	0	91	452	56	0	173	120	33	18	23	37	571	2352	372	0	0	0	295	0	0	32	9	139	94	113	91	51	1474	0	0	13	26	0	0	159	110	122	446	0	0	0	163	27	0	7948	0	8	0	521	9	5474	160	0	0	38	130	23	0	0	241	58	29	17	530	358	153	0	0	24	31	28	0	166	0	61	0	0	0	0	0	0	0	85	246	277	292	0	45	1075	37	66	0	14	0	945	0	0	0	82	0	0	35	459	0	0	149	0	0	13	900	36	133	0	0	46	217	73	19	70	34	0	0	355	291	0	101	2055	1120	0	10	515	0	462	19	0	345	0	0	93	0	0	0	791	1783	0	394	73	14	118	0	42	0	326	0	0	113	5	0	0	0	0	0	0	0	0	188	42	24	84	0	4917	10
Melissococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vagococcus	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lactobacillus	6353	342	0	5	0	11	0	23	407	52	0	0	323	67	601	12	130	0	0	6	76	305	0	60	0	322	378	13	987	0	183	98	0	2464	8	64	58	0	66	283	18	73	18	93	296	180	0	2	198	72	107	605	0	5	13105	41	9	0	1189	0	0	27746	3250	14	1209	6074	21	5	2957	141	0	0	378	0	0	10	6	17	0	510	785	567	0	19	0	27	0	160	26	1550	7778	18	1687	5	81	0	0	99	3	0	42	174	0	0	0	31	0	397	0	0	56	1516	149	0	0	3328	56	10025	0	60	47	2716	61	14	52	362	1977	52	0	0	14	89	0	0	0	6	236	0	0	0	32	0	633	90	173	230	2	0	0	0	0	356	6	20	34	178	18	0	25	24	4	0	0	0	22	65	0	1827	252	1134	320	71	684	173	0	15	79	0	0	21	27	0	18	0	188	151	0	324	456	0	58	12	28	0	46	253	11	0	0	0	0	0	5	0	4	281	6	2143	34	35	46	199	0	8
Pediococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leuconostoc	77	43	0	5	0	0	0	5	0	0	0	8	0	0	51	0	30	0	0	0	0	0	20	35	5	35	5	10	0	0	35	0	0	0	0	174	53	0	0	3	0	48	0	0	27	42	8	33	0	0	0	202	6	0	876	0	0	0	0	30	0	5	15	10	11	0	12	3	19	64	0	11	0	0	0	0	0	16	8	0	14	19	0	14	26	0	0	0	74	2	9	12	13	0	6	0	0	55	0	0	15	9	0	0	0	19	129	42	6	0	21	126	0	82	0	0	10	0	0	0	49	0	15	0	24	75	15	0	0	5	26	24	0	0	0	0	16	0	0	0	0	0	0	0	0	24	0	8	0	7	0	222	0	13	0	0	726	12	8	0	14	0	0	0	7	17	0	0	12	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	12	18	0	179	0	0	18	0	11	0	0	0	0	0	0	0	0	2	9	0	0	0	3	0	0	3	0	4	45	0
Oenococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Weissella	114	77	0	0	0	4	0	0	20	0	11	0	0	0	24	0	2601	0	326	0	7	289	1022	0	81	24	24	145	0	15	1518	0	0	501	32	683	38	0	38	0	0	117	0	36	16	306	63	253	46	7	44	143	0	0	47	0	0	0	0	789	0	0	0	82	19	545	0	0	71	0	0	0	118	29	0	14	0	12	0	3178	29	6	0	0	0	0	0	0	1164	0	12	0	58	0	0	0	29	38	4	0	51	158	0	0	0	21	0	200	0	0	362	0	3	221	0	0	88	41	0	0	0	0	54	0	25	379	1090	2	0	2700	359	22	30	0	246	0	3708	14	13	87	0	19	0	0	0	0	0	487	0	0	0	9436	61	18	0	4	67	16	10	52	88	0	0	0	0	1386	13	0	24	21	3	18	0	16	531	74	0	15	0	0	0	0	0	3	160	59	0	39	32	0	308	0	16	11	15	14	0	0	4	0	0	0	0	0	0	28	0	10	0	0	152	0	0	0
Anthococcus	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lactococcus	3484	14	3423	0	0	9	0	45	156	0	0	90	0	0	27	6	9	9	0	0	40	0	18	20	2460	1051	194	12	0	0	1053	94	0	6	48	376	720	7	0	0	143	95	0	14	325	65	0	580	0	8	0	158	49	666	6834	41	0	13	0	54	0	31	79	0	1079	108	73	5	159	144	0	0	0	0	0	8	0	20	45	0	150	55	0	55	33	106	9	3	653	0	640	13	0	25	0	0	0	31	0	11	11	786	80	0	3	82	0	96	0	0	131	0	0	119	0	690	0	0	0	0	0	0	120	13	68	21	80	0	0	8	25	90	26	0	100	0	390	4	13	0	98	0	28	16	0	8	0	22	0	69	0	452	0	20	0	7	339	46	11	6	0	0	38	0	68	18	0	0	21	7	0	28	23	0	26	222	0	63	0	86	0	0	0	0	733	47	0	501	11	0	38	0	10	0	42	0	527	11	0	0	0	0	0	0	0	7	0	6	0	23	10	17	1402	0
Streptococcus	1757	850	3341	1435	135	266	79	916	1477	21	73	460	1652	102	3831	670	6409	10	113	87	1144	445	154	1413	246	12295	2935	244	15	3971	15167	747	141	269	2813	1303	4847	621	707	4551	208	649	82	123	1133	2432	365	594	973	2276	873	493	993	2163	19430	1205	1549	416	313	625	134	989	2477	42	2138	5906	456	30	567	1724	447	86	44	61	1657	867	169	1320	559	18	373	386	23	66	341	4267	240	337	204	247	3758	168	8534	1299	9	73	288	3028	0	271	303	1000	5106	374	310	4215	119	2097	2287	544	2349	566	689	59	16	784	1393	451	102	170	381	1545	499	251	120	1580	15650	72	336	711	318	4925	507	181	716	609	4723	244	883	1967	210	36	49	600	4100	1553	205	126	1107	514	9	10837	38	865	10370	5321	6748	217	704	4073	2100	105	197	107	512	2154	336	20	739	443	31	222	3490	128	134	138	346	150	541	1042	454	17	308	759	183	312	2	5799	360	269	2492	37	571	30	575	4789	50	570	230	53	322	90	162	235	20	242	652	408	381	137	11	536	992	1767
Catabacter	0	0	0	0	0	0	0	17	0	0	17	0	0	0	0	0	10	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	55	0	0	0	0	0	44	52	151	13	15	0	9	0	0	0	0	0	16	0	0	22	25	0	35	0	0	0	12	0	171	0	0	20	13	35	0	34	0	0	31	7	0	10	0	0	21	0	0	0	0	0	0	0	38	0	0	0	7	76	24	25	0	0	0	0	9	0	0	0	22	0	0	0	0	0	0	8	0	19	0	23	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	5	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	11	0	11	0	16	0	0	0	130	0	20	0	5	0	0	0	0
Christensenella	0	0	0	0	0	0	0	0	67	0	0	0	0	7	0	12	0	0	23	0	0	0	0	0	34	0	0	0	0	0	0	8	27	0	0	0	0	0	47	0	0	0	0	0	0	6	0	0	0	0	0	82	0	0	0	0	0	27	9	0	12	12	0	10	0	26	29	0	0	0	0	0	0	0	73	17	27	0	0	0	0	0	0	0	30	0	0	0	0	15	19	0	0	0	32	0	0	72	0	0	0	14	0	0	0	13	0	0	0	11	8	0	0	0	0	8	0	0	0	0	0	0	8	21	0	0	0	0	0	0	0	23	0	0	33	0	0	12	0	42	0	0	0	12	0	0	0	5	0	0	0	0	0	0	0	0	0	11	0	0	0	11	0	0	0	0	0	0	0	0	0	8	0	9	0	0	0	8	0	0	0	0	13	0	10	5	0	0	0	15	0	0	0	0	0	0	0	11	0	8	0	19	0	0	0	0	0	0	0	0	6	0	0	6
Christensenellaceae_R.7_group	21	496	0	0	2582	832	8155	4050	5944	1643	17216	1068	0	913	391	992	2229	2994	51	32936	4312	107	3950	155	387	783	392	5536	5211	1846	8	1357	138	15934	3334	306	570	325	1229	718	18262	18702	7	1678	653	383	484	2890	834	82	2031	133	335	2541	4120	43	14	192	11191	7527	25255	876	0	1641	1593	0	882	106	830	2568	329	6718	2820	1708	727	3371	1499	11484	4813	2290	36	122	20176	1799	3254	2733	1453	4129	3384	5	1292	6796	84	2235	1194	0	64	17	5097	984	137	1113	12252	2308	1445	568	326	1111	310	2327	149	2629	269	0	0	473	1542	4	974	239	5644	1384	68	9576	7567	782	400	314	3888	5	426	3227	3885	447	232	325	16078	846	127	1880	1138	2615	15142	5514	10359	5272	12523	1048	3655	112	1187	3116	1380	22441	1036	140	33	4433	15300	7289	0	903	686	7388	19	93	2257	9464	0	568	92	329	68	3145	2029	675	871	577	768	476	1032	135	4744	355	8635	1229	7716	15630	504	571	7	11931	0	4586	2501	682	0	5569	6326	111	10033	1430	30	0	1018	235	2878	1181	98	4821	890	8870	264	8417
Clostridium_CAG.352	0	128	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	1892	105	0	9	0	128	0	0	0	0	0	0	0	0	8	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	761	22	0	0	0	0	0	0	0	10	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	650	0	0	0	0	0	0	0	8	0	273	11	0	0	404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	354	0	0	45	0	0	0	0	0	0	0	0	161	0	0	0	0	5600	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	183	0	0	12	0	6	0	0	11	0	30	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	194	201	270	0	0	0	38	0	0	0	64	0	0	61	0	0	0	46	0	0	0	0	0	0	0	0	225	0	0	0	0	0	13	0	0	0	0	0	0	65
Clostridium_sensu_stricto_1	547	574	627	0	269	2531	6520	3318	3460	12610	737	1216	871	209	2589	1899	407	3133	140	451	1444	9293	1272	0	14294	3616	104	1046	101	147	14726	702	61	965	390	11382	1760	497	497	5638	31	1299	143	4879	1354	2052	307	629	324	349	0	11927	110	2577	6933	88	8	170	1101	1754	547	854	101	1111	236	1394	2408	1807	289	382	327	1063	5187	9168	185	223	52	1007	13734	5773	3	3114	3514	3973	323	66	987	2069	1047	0	6578	14042	313	6742	2991	0	292	1747	4614	2891	1059	92	2452	771	366	212	1417	7761	62	3998	8324	1717	788	179	182	455	3898	40	90	690	244	394	1166	1287	1220	528	194	222	962	5211	3976	21063	333	1151	588	0	1494	395	14	5370	12588	178	0	120	51	2441	16	599	52	936	102	4008	2572	7354	2546	39	1952	1502	4613	210	0	577	304	817	579	227	5550	1095	98	78	48	891	45951	139	858	43	442	719	298	459	817	80	8556	397	4275	691	2435	113	62	233	8293	1045	546	1160	27	78	110	1849	3059	91	0	150	60	695	18	26	316	280	195	24	756	242	3841	225
Clostridium_sensu_stricto_11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clostridium_sensu_stricto_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clostridium_sensu_stricto_6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sarcina	0	0	0	0	0	0	0	0	0	1691	0	0	0	0	0	0	0	324	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	485	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	448	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	56	0	0	0	0	0	0	13	18	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	0	0	42	0	8795	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2103	0	0	0	0	0	80	0	0	9	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	25	0	0
Clostridiales_bacterium_S5-A14a	0	0	0	0	0	0	0	0	0	0	0	36	0	5	0	0	0	0	124	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	11	0	0	0	0	0	6	0	0	0	0	0	0	0	77	125	0	0	0	0	12	7	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	18	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	13	0
Anaerovorax	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Defluviitaleaceae_UCG.011	0	0	0	0	0	0	0	0	0	10	24	0	0	0	0	0	14	0	0	20	0	0	0	0	0	0	0	5	0	0	0	0	0	9	17	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	9	27	0	0	0	5	0	20	0	0	0	0	0	0	0	0	23	0	0	3	0	29	0	0	0	0	0	8	0	0	0	12	8	7	0	0	0	0	0	81	0	0	0	0	0	0	6	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	18	0	0	0	0	0	0	71	4	0	0	0	19	0	0	0	0	0	0	0	102	10	0	0	0	8	0	0	0	0	0	0	16	11	73	0	21	0	8	0	0	0	0	0	0	54	8	0	0	12	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0
Anaerofustis	0	0	0	0	0	23	0	0	0	72	52	0	0	0	12	6	0	0	0	3	0	0	0	0	10	5	0	8	0	0	0	0	0	0	0	0	0	0	12	0	0	0	5	0	15	0	0	0	0	0	0	3	0	0	10	0	0	0	0	0	0	0	6	6	0	0	15	0	0	0	0	23	116	0	16	0	0	0	0	73	0	0	0	0	0	0	0	16	0	0	4	0	0	0	15	0	0	6	9	0	0	0	0	0	0	0	0	29	0	0	4	0	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	14	0	0	0	0	3	0	0	0	0	0	4	0	0	0	0	0	0	5	0	0	0	0	0	0	0	3	10	0	14	0	0	0	38	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
